   ,SPECIES_ID,SPECIES_NAME,ALPHA_CODE,Download,TAXONOMIC_ORDER,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD
691,5586,Zonotrichia Sparrow Hybrid,ZSHY,9,1053,,1B,"1B, 1A, 1P",,,
692,5590,American Tree Sparrow,ATSP,9,1007,Spizelloides arborea,"1, 0, 1C","1, 0, 1C",,,
693,5600,Chipping Sparrow,CHSP,9,1008,Spizella passerina,"0, 0A, 1C, 1","0, 0A, 1C, 1",,,
694,5610,Clay-colored Sparrow,CCSP,9,1009,Spizella pallida,"0, 0A, 1C, 1","0, 0A, 1C, 1",,,
695,5620,Brewer's Sparrow,BRSP,9,1010,Spizella breweri,"0, 1C, 0A, 1","0, 1C, 0A, 1",,,
696,5630,Field Sparrow,FISP,9,1011,Spizella pusilla,"0, 0A, 1C, 1","0, 0A, 1C, 1",,,
697,5640,Worthen's Sparrow,WOSP,9,1012,Spizella wortheni,"0, 0A","0, 0A",,,
698,5650,Black-chinned Sparrow,BCSP,9,1013,Spizella atrogularis,"0, 1C, 1","0, 1C, 1, 0A",,,
699,5660,White-winged Junco,WWJU,9,1052,Junco hyemalis aikeni,"1, 0, 1C","1, 0, 1C",,,
700,5670,Slate-colored Junco,SCJU,9,1054,Junco hyemalis hyemalis,"0, 1C, 1","0, 1C, 1, 0A",,,
701,5671,Oregon Junco,ORJU,9,1055,Junco hyemalis oreganus,"0, 1C, 1","0, 1C, 1, 0A",,,
702,5677,Unidentified Dark-eyed Junco,UDEJ,9,1056,Junco hyemalis,"0, 1C, 1","0, 1C, 1, 0A",,,
703,5690,Gray-headed Junco,GHJU,9,1057,Junco hyemalis caniceps,"1, 0, 1C","1, 0, 1C",,,
704,5700,Yellow-eyed Junco,YEJU,9,1058,Junco phaeonotus,"1, 1C, 0","1, 1C, 0",,,
705,5730,Black-throated Sparrow,BTSP,9,1017,Amphispiza bilineata,"0, 1C, 1","0, 1C, 1",,,
706,5740,Unspecified Sage Sparrow,USSP,9,1019,,"1, 1C","1, 1C, 0",,,
707,5741,San Clemente Bell's Sparrow,SCBS,9,1020,Artemisiospiza belli belli,1,1,Y,,
708,5742,Five-striped Sparrow,FSSP,9,1016,Amphispiza quinquestriata,1B,1B,,,
709,5743,Sagebrush Sparrow,SBSP,9,1018,Artemisiospiza nevadensis,"1, 1C","1, 1C, 0, 1B",,,
710,5744,Bell's Sparrow,BESP,9,1021,Artemisiospiza belli,"1, 1C","1, 1C",,,
711,5750,Bachman's Sparrow,BACS,9,1006,Peucaea aestivalis,"1, 1C","1, 1C, 1B",,,
712,5760,Botteri's Sparrow,BOSP,9,1004,Peucaea botterii,"1, 1C","1, 1C, 1B",,,
713,5780,Cassin's Sparrow,CASP,9,1005,Peucaea cassinii,"1, 1C","1, 1C, 1B",,,
714,5790,Rufous-winged Sparrow,RWSP,9,1003,Peucaea carpalis,"0, 1C, 1","0, 1C, 1",,,
